  0.07         1967729822.64
  0.09         2462688415.34
  0.18        11419525318.03
  0.24        22259630693.89
  0.25        22331946311.78
  0.34        40889387879.44
  0.45        72342245045.90
  0.45        76991913526.26
  0.61       134895566727.17
  0.67       169446654761.62
  0.76       250526734315.75
  0.97       333653581982.96
  1.05       453216506651.45
  1.19       653373098209.69
  1.43       868665788811.91
  1.44       989723394434.04
  1.80      1563065516021.68
  2.11      2033826498253.75
  2.24      2426334242086.32
  2.69      3451280975783.27
  2.74      3922091627253.51
  3.25      5648891633735.31
  3.28      5489592685067.11
  3.83      7784176533117.82
  3.88      8325788729296.96
  4.39     11308048205817.44
  4.56     12339371687877.44
  4.86     13453040984446.25
  5.24     14599975136667.98
  5.40     16464076421673.35
  5.61     18697752858419.55
  6.00     24824963641544.57
  6.37     24609472242001.57
  6.55     27947124140976.28
  7.34     37816198526487.55
  8.13     43641568409603.87
 11.95    117396203914539.81
